parameter,value,n_reps,viable_rate,viable_ci_lower,viable_ci_upper,healthy_rate,healthy_ci_lower,healthy_ci_upper,no_crash_rate,no_crash_ci_lower,no_crash_ci_upper,low_var_rate,low_var_ci_lower,low_var_ci_upper,stability_mean,stability_std,stability_se,stability_ci_lower,stability_ci_upper,fish_mean,fish_std,fish_se,fish_ci_lower,fish_ci_upper,cv_mean,cv_std,cv_se,cv_ci_lower,cv_ci_upper,persist_viable_mean,persist_viable_std,persist_viable_se,persist_viable_ci_lower,persist_viable_ci_upper,persist_healthy_mean,persist_healthy_std,persist_healthy_se,persist_healthy_ci_lower,persist_healthy_ci_upper
scale,6.927586206896551,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,0.8666666666666667,0.6946360061780545,1.0,0.5866666666666666,0.09904304018720249,0.025572803013519142,0.5365439727601691,0.636789360573164,14.334444444444445,0.40638640702732465,0.10492851910279313,14.12878454700297,14.54010434188592,0.3554208223313029,0.03239275167291241,0.00836377251780148,0.339027828196412,0.3718138164661938,0.8304444444444444,0.04006124059781886,0.010343767844250727,0.810170659469713,0.8507182294191759,0.15429629629629632,0.03165585074733154,0.008173505516962845,0.13827622548304913,0.1703163671095435
scale,7.268965517241379,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,0.9333333333333333,0.8070973403443054,1.0,0.6066666666666667,0.07037315505489966,0.018170270503179913,0.5710529364804341,0.6422803968528993,14.442370370370371,0.3658897171640606,0.09447231874166324,14.257204625636712,14.62753611510403,0.35106767991019433,0.030659044987413436,0.007916131376458415,0.3355520624123358,0.36658329740805284,0.8408148148148148,0.0418287148669328,0.010800127738192621,0.8196465644479572,0.8619830651816723,0.1511111111111111,0.016373075502511273,0.004227509916494853,0.1428251916747812,0.15939703054744103
scale,7.610344827586207,15,1.0,1.0,1,0.0,0,0.0,0.3333333333333333,0.09476973050886098,0.5718969361578057,1.0,1.0,1.0,0.6266666666666666,0.04577377082170633,0.011818736805705573,0.6035019425274837,0.6498313908058495,14.44977777777778,0.23144710009221,0.0597593842790087,14.332649384590923,14.566906170964636,0.353705309037929,0.021727469563794028,0.005610008518386853,0.3427096923418908,0.36470092573396723,0.8385925925925924,0.023706266395860646,0.006120931663461653,0.8265955665322076,0.8505896186529773,0.1553333333333333,0.017897414905998582,0.004621092658073126,0.14627599172350997,0.16439067494315662
scale,7.951724137931034,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,0.9333333333333333,0.8070973403443054,1.0,0.6133333333333333,0.06399404734221843,0.016523191974188067,0.5809478770639247,0.6457187896027419,14.503555555555558,0.4974980081142048,0.12845343334651182,14.251786826196394,14.755324284914721,0.34936111402798253,0.030172401456744647,0.007790480557137095,0.33409177213599384,0.36463045591997123,0.8421481481481482,0.031055695165846466,0.008018546012147836,0.8264317979643384,0.857864498331958,0.15533333333333335,0.03312154943593426,0.008551947291063938,0.13857151664284803,0.17209515002381867
scale,8.293103448275863,15,1.0,1.0,1,0.0,0,0.0,0.2,0.0,0.4024279295617743,1.0,1.0,1.0,0.6133333333333333,0.05163977794943221,0.013333333333333329,0.5871999999999999,0.6394666666666666,14.322296296296297,0.5336243363947246,0.13778121119918352,14.052245122345898,14.592347470246697,0.351335709062196,0.02762024728263171,0.007131517182917551,0.33735793538367764,0.3653134827407144,0.835037037037037,0.027138246460095126,0.007007065105681387,0.8213031894299015,0.8487708846441725,0.14807407407407408,0.03274471473883159,0.008454648990653818,0.1315029620523926,0.16464518609575557
scale,8.63448275862069,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.9333333333333333,0.8070973403443054,1.0,0.5933333333333333,0.05936168397046635,0.015327120894696263,0.5632921763797286,0.6233744902869379,14.619851851851852,0.5376987129775219,0.13883321070927362,14.347738758861675,14.891964944842028,0.3468904041939698,0.025776455536993453,0.006655452201268773,0.33384571787948303,0.3599350905084566,0.8478518518518519,0.04550028909857702,0.011748124128427444,0.824825528560134,0.8708781751435697,0.16503703703703704,0.021901924515258357,0.0056550525931658375,0.153953133954432,0.17612094011964208
scale,8.975862068965517,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.9333333333333333,0.8070973403443054,1.0,0.5999999999999999,0.0654653670707977,0.016903085094570326,0.5668699532146421,0.6331300467853577,14.52148148148148,0.451319380077598,0.11653016285741283,14.29308236228095,14.74988060068201,0.35855705504963775,0.03055866484466255,0.007890213335047474,0.3430922369129447,0.3740218731863308,0.836962962962963,0.03043328108002338,0.007857839386225321,0.8215615977659614,0.8523643281599647,0.15748148148148147,0.026780401197536215,0.0069146698561873944,0.14392872856335417,0.17103423439960877
scale,9.317241379310344,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,1.0,1.0,1.0,0.6133333333333333,0.06399404734221843,0.016523191974188067,0.5809478770639247,0.6457187896027419,14.31614814814815,0.5248249673230978,0.13550922387441397,14.050550069354298,14.581746226942002,0.33873641500283314,0.02380414817681948,0.006146204630631699,0.326689853926795,0.35078297607887127,0.8387407407407409,0.03654589698876877,0.009436110027314214,0.820245965087205,0.8572355163942768,0.14155555555555557,0.03227363167645224,0.008333015866968779,0.12522284445629678,0.15788826665481437
scale,9.658620689655173,15,1.0,1.0,1,0.0,0,0.0,0.3333333333333333,0.09476973050886098,0.5718969361578057,0.8666666666666667,0.6946360061780545,1.0,0.6199999999999999,0.06761234037828132,0.017457431218879386,0.5857834348109963,0.6542165651890035,14.614666666666666,0.44284119559385104,0.11434110503663776,14.390558100794857,14.838775232538476,0.3577709104067351,0.03250141894540577,0.008391830286911118,0.34132292304438927,0.3742188977690809,0.841925925925926,0.021892259295211974,0.0056525570440807,0.8308469141195278,0.8530049377323241,0.16674074074074074,0.035850627466083966,0.00925659220848196,0.1485978200121161,0.18488366146936538
scale,10.0,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.8666666666666667,0.6946360061780545,1.0,0.5933333333333333,0.07037315505489966,0.018170270503179913,0.5577196031471007,0.6289470635195659,14.47022222222222,0.37205829131204543,0.09606503773799598,14.281934748255749,14.658509696188693,0.3552621674474354,0.03201452603471744,0.008266115077945627,0.3390605818946619,0.37146375300020884,0.8428148148148147,0.0358663663828293,0.009260655979311428,0.8246639290953642,0.8609657005342651,0.15903703703703703,0.02019248933426494,0.0052136783273386,0.14881822751545337,0.1692558465586207
