time_step,total_fish_mean,total_fish_ci,mpa_fish_mean,mpa_fish_ci,outside_fish_mean,outside_fish_ci,cooperation_mean,cooperation_ci,trust_mean,trust_ci,fully_noncoop_mean,fully_noncoop_ci,noncoop_mean,noncoop_ci,cond_coop_mean,cond_coop_ci,coop_mean,coop_ci,fully_coop_mean,fully_coop_ci
72,13.13,1.4023673304808553,4.11,0.5309357460182915,9.02,1.0554850229160049,0.7199999999999995,0.005237631546993347,0.9462759009009009,0.0014701845833289633,17.14,1.8338353269582306,8.28,1.6513113412073448,3.35,0.9746443659099457,7.84,1.3618037121406301,0.39,0.1463976994354761
73,13.16,1.3977205122627339,4.44,0.5621613490804932,8.72,1.0753525308474428,0.726108108108108,0.00372789746455142,0.946326201201201,0.0014358378756058766,17.14,1.8338353269582306,8.28,1.6513113412073448,3.35,0.9746443659099457,7.84,1.3618037121406301,0.39,0.1463976994354761
74,13.32,1.4359939699037734,4.49,0.5092191653895208,8.83,1.1273169641232221,0.7254054054054053,0.003947108603241777,0.9464594594594595,0.001357904648773724,17.14,1.8338353269582306,8.28,1.6513113412073448,3.35,0.9746443659099457,7.84,1.3618037121406301,0.39,0.1463976994354761
75,13.38,1.4381058408893277,4.46,0.5349184371471972,8.92,1.1275299275850728,0.6851891891891895,0.006316226829028078,0.9464271771771772,0.0013390141288974272,17.86,1.9373328486349475,8.4,1.7017044631780227,3.07,0.9457908868243547,7.36,1.3693430272944762,0.31,0.12609671843469994
76,13.27,1.4021481639256246,4.64,0.5263028846586346,8.63,1.0687500968888843,0.7130270270270274,0.0058589066020222486,0.9454493243243239,0.0013698229185834477,17.86,1.9373328486349475,8.4,1.7017044631780227,3.07,0.9457908868243547,7.36,1.3693430272944762,0.31,0.12609671843469994
77,13.36,1.431342253411112,4.52,0.538540094700478,8.84,1.0964513990141103,0.7198918918918922,0.005184601016661963,0.9455052552552555,0.0013546649676806233,17.86,1.9373328486349475,8.4,1.7017044631780227,3.07,0.9457908868243547,7.36,1.3693430272944762,0.31,0.12609671843469994
78,13.45,1.4665659889687883,4.65,0.5327271346571336,8.8,1.0905775350702949,0.7236216216216217,0.004523916703520796,0.9454406906906909,0.0013686224975474604,17.86,1.9373328486349475,8.4,1.7017044631780227,3.07,0.9457908868243547,7.36,1.3693430272944762,0.31,0.12609671843469994
79,13.5,1.4668606477781043,4.74,0.5596271959081333,8.76,1.0860310301275928,0.7264324324324327,0.004111180523915138,0.9454110360360359,0.0013686442327549646,17.86,1.9373328486349475,8.4,1.7017044631780227,3.07,0.9457908868243547,7.36,1.3693430272944762,0.31,0.12609671843469994
80,13.52,1.4083333105483236,4.46,0.6018317160137043,9.06,1.0303785432548562,0.6865405405405401,0.006709808609951314,0.9453870120120116,0.0013487767472721355,18.61,1.9582146068293942,8.45,1.7242152417839254,2.73,0.8921144061161662,6.97,1.392139585530129,0.24,0.11468931249248995
81,13.61,1.3994166664721408,4.23,0.5265473517168231,9.38,1.0723833314631483,0.711945945945946,0.005830483692176265,0.944480105105105,0.0013943930963149303,18.61,1.9582146068293942,8.45,1.7242152417839254,2.73,0.8921144061161662,6.97,1.392139585530129,0.24,0.11468931249248995
82,13.61,1.4171477715467784,4.25,0.5320055262870865,9.36,1.0708561838080777,0.7201621621621622,0.004950873438519377,0.9445439189189184,0.0013632110606638232,18.61,1.9582146068293942,8.45,1.7242152417839254,2.73,0.8921144061161662,6.97,1.392139585530129,0.24,0.11468931249248995
83,13.68,1.376160093012437,4.27,0.56115932995897,9.41,1.0620577905180113,0.7245945945945945,0.004700885016841317,0.944584084084084,0.0013422695818870712,18.61,1.9582146068293942,8.45,1.7242152417839254,2.73,0.8921144061161662,6.97,1.392139585530129,0.24,0.11468931249248995
84,13.39,1.355349566126761,4.1,0.49234638213355436,9.29,1.0899767770003175,0.7258918918918915,0.0041313349590008305,0.9446670420420424,0.0013132350154065819,18.61,1.9582146068293942,8.45,1.7242152417839254,2.73,0.8921144061161662,6.97,1.392139585530129,0.24,0.11468931249248995
85,13.54,1.3907494865718986,4.43,0.536950576496571,9.11,1.1197399548109372,0.6848108108108107,0.007394533709248316,0.9447616366366367,0.0012782846272774422,19.02,1.9876332844868543,8.84,1.7693752768703415,2.64,0.8992620120965855,6.36,1.3729852462426533,0.14,0.08324810147985365
86,13.48,1.4086060604725512,4.36,0.5378548562577081,9.12,1.1067597795366437,0.7128108108108109,0.005859979356610204,0.9437042042042048,0.0012852467645430147,19.02,1.9876332844868543,8.84,1.7693752768703415,2.64,0.8992620120965855,6.36,1.3729852462426533,0.14,0.08324810147985365
87,13.44,1.4264491657258591,4.45,0.5334477668900677,8.99,1.0893421860921386,0.7214594594594594,0.004567867783512918,0.9437282282282282,0.0012676915377701462,19.02,1.9876332844868543,8.84,1.7693752768703415,2.64,0.8992620120965855,6.36,1.3729852462426533,0.14,0.08324810147985365
88,13.64,1.4462940801925444,4.47,0.5181633580252466,9.17,1.113947511151221,0.7245945945945949,0.004686536612469236,0.943875,0.0012434339039103224,19.02,1.9876332844868543,8.84,1.7693752768703415,2.64,0.8992620120965855,6.36,1.3729852462426533,0.14,0.08324810147985365
89,13.78,1.449758885332316,4.53,0.5546869257518153,9.25,1.108526860297034,0.7276756756756757,0.004159724416336799,0.9438945195195199,0.001194695460507916,19.02,1.9876332844868543,8.84,1.7693752768703415,2.64,0.8992620120965855,6.36,1.3729852462426533,0.14,0.08324810147985365
90,14.48,1.5842038737485777,4.96,0.5700332397325617,9.52,1.1816963373049778,0.6855675675675675,0.0068776057498417045,0.9439786036036034,0.0011719866578559703,19.62,2.033641445683088,8.84,1.8037793851799055,2.34,0.8440389033687961,6.12,1.4156248406975627,0.08,0.06606101422170259
91,14.11,1.5620831112332019,4.84,0.586508508378182,9.27,1.1779110805149937,0.7105945945945945,0.006464300378501264,0.9430439189189189,0.0011976510939251748,19.62,2.033641445683088,8.84,1.8037793851799055,2.34,0.8440389033687961,6.12,1.4156248406975627,0.08,0.06606101422170259
92,13.71,1.4948248106049085,4.45,0.5796929877098742,9.26,1.1397092429211932,0.7183243243243246,0.005904326789738964,0.9430608108108107,0.0011963796151941565,19.62,2.033641445683088,8.84,1.8037793851799055,2.34,0.8440389033687961,6.12,1.4156248406975627,0.08,0.06606101422170259
93,13.92,1.4874527681913126,4.57,0.6279682170301298,9.35,1.045756893355239,0.7223783783783786,0.005430223260365468,0.9431261261261263,0.0012055578530208424,19.62,2.033641445683088,8.84,1.8037793851799055,2.34,0.8440389033687961,6.12,1.4156248406975627,0.08,0.06606101422170259
94,14.11,1.5169171784906381,4.79,0.6774316898403854,9.32,1.060169779610794,0.7261081081081083,0.004345217693454058,0.943218843843844,0.0011841457532108435,19.62,2.033641445683088,8.84,1.8037793851799055,2.34,0.8440389033687961,6.12,1.4156248406975627,0.08,0.06606101422170259
