param1,param2,val1,val2,equilibrium_probability,mean_final_population
scale,imitation_period,3.0,15.0,0.0,14.666666666666666
scale,imitation_period,3.5,1.0,0.3333333333333333,15.103333333333333
scale,imitation_period,3.5,3.0,0.0,13.770000000000001
scale,imitation_period,3.5,5.0,0.0,15.839999999999998
scale,imitation_period,3.5,7.0,0.0,13.893333333333333
scale,imitation_period,3.5,9.0,0.0,13.766666666666666
scale,imitation_period,3.5,11.0,0.3333333333333333,14.89
scale,imitation_period,3.5,13.0,0.3333333333333333,14.44
scale,imitation_period,3.5,15.0,0.0,14.85
scale,imitation_period,4.0,1.0,0.3333333333333333,13.873333333333333
scale,imitation_period,4.0,3.0,0.0,14.25
scale,imitation_period,4.0,5.0,0.0,15.136666666666668
scale,imitation_period,4.0,7.0,0.0,13.776666666666666
scale,imitation_period,4.0,9.0,0.0,13.346666666666666
scale,imitation_period,4.0,11.0,0.3333333333333333,16.209999999999997
scale,imitation_period,4.0,13.0,0.3333333333333333,14.13
scale,imitation_period,4.0,15.0,0.0,13.773333333333333
scale,cooperation_increase,0.5,0.05,0.0,16.320000000000004
scale,cooperation_increase,0.5,0.1142857142857143,0.3333333333333333,14.736666666666666
scale,cooperation_increase,0.5,0.1785714285714286,0.0,14.743333333333334
scale,cooperation_increase,0.5,0.24285714285714288,0.0,14.043333333333331
scale,cooperation_increase,0.5,0.30714285714285716,0.0,14.403333333333334
scale,cooperation_increase,0.5,0.37142857142857144,0.0,14.280000000000001
scale,cooperation_increase,0.5,0.4357142857142858,0.3333333333333333,14.926666666666668
scale,cooperation_increase,0.5,0.5,0.0,15.826666666666668
scale,cooperation_increase,1.0,0.05,0.3333333333333333,14.523333333333333
scale,cooperation_increase,1.0,0.1142857142857143,0.0,14.530000000000001
scale,cooperation_increase,1.0,0.1785714285714286,0.0,13.516666666666667
scale,cooperation_increase,1.0,0.24285714285714288,0.0,14.433333333333332
scale,cooperation_increase,1.0,0.30714285714285716,0.3333333333333333,14.956666666666669
scale,cooperation_increase,1.0,0.37142857142857144,0.0,15.343333333333334
scale,cooperation_increase,1.0,0.4357142857142858,0.0,16.153333333333332
scale,cooperation_increase,1.0,0.5,0.3333333333333333,14.626666666666665
scale,cooperation_increase,1.5,0.05,0.0,14.87
scale,cooperation_increase,1.5,0.1142857142857143,0.3333333333333333,15.22
