cond_coop1,cond_coop2,cond_coop3,cond_coop4,coop1,coop2,coop3,coop4,fully_coop1,fully_coop2,fully_coop3,fully_coop4,fully_noncoop1,fully_noncoop2,fully_noncoop3,fully_noncoop4,noncoop1,noncoop2,noncoop3,noncoop4,total_catch,total_biomass,biomass_inside_MPA,biomass_outside_MPA
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,32,26,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,26,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30,27,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,27,22,5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,21,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25,22,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,23,21,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,20,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,19,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,18,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21,17,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,17,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,2
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,15,13,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,13,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1
