cond_coop1,cond_coop2,cond_coop3,cond_coop4,cond_coop5,cond_coop6,cond_coop7,cond_coop8,coop1,coop2,coop3,coop4,fully_noncoop1,fully_noncoop2,fully_noncoop3,fully_noncoop4,noncoop1,noncoop2,noncoop3,noncoop4,total_catch,total_biomass,biomass_inside_MPA,biomass_outside_MPA
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,6,107,76,31
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,111,75,36
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,5,117,77,40
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,4,10,119,75,44
2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,0,0,10,119,64,55
0,0,0,0,2,0,0,1,0,1,0,0,2,3,0,4,0,0,0,0,13,114,58,56
0,0,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,8,109,67,42
0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,7,6,0,18,114,62,52
0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,1,5,0,12,105,57,48
2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,8,106,50,56
0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,11,0,3,0,20,106,51,55
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,6,99,59,40
0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,1,5,1,0,0,13,108,60,48
1,1,0,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,104,56,48
3,0,0,3,0,0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,16,105,63,42
2,2,0,0,0,0,0,1,0,0,2,1,2,1,0,0,2,0,0,0,13,104,66,38
0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,2,0,0,1,12,106,64,42
0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,0,1,0,0,0,8,101,63,38
0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,1,8,104,64,40
2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,9,114,61,53
1,8,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,1,0,1,17,112,59,53
1,0,0,1,3,2,0,0,1,0,0,0,1,2,0,1,0,0,9,0,21,107,60,47
0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,10,95,60,35
1,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,1,0,10,95,59,36
0,0,1,0,6,0,0,2,3,0,1,1,3,0,1,0,2,0,0,0,20,94,49,45
0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,2,0,1,13,90,49,41
2,0,0,0,1,0,0,0,0,0,1,0,0,5,3,0,2,1,0,0,15,87,51,36
0,0,1,1,0,0,0,0,0,0,1,0,0,7,1,1,0,2,0,0,14,86,51,35
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,8,1,0,0,13,82,54,28
0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,7,81,50,31
0,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,4,2,1,14,83,52,31
0,1,0,1,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,12,79,60,19
2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,79,68,11
0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,7,86,62,24
0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,5,88,63,25
0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,3,0,1,8,95,63,32
0,1,0,0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,2,15,98,67,31
0,1,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,4,11,102,73,29
0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,2,2,1,4,0,17,109,66,43
0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,7,0,3,1,0,17,101,58,43
0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,9,95,63,32
1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,9,95,62,33
0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,8,98,70,28
0,2,0,0,0,0,1,0,1,1,0,0,3,0,2,0,0,3,0,0,13,106,69,37
0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,3,0,1,0,0,9,105,62,43
0,0,1,1,2,0,1,0,0,2,1,0,3,0,4,2,0,1,0,0,18,104,61,43
0,0,3,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,2,0,13,97,58,39
1,0,0,1,2,1,1,1,2,0,0,0,3,7,0,0,2,0,0,0,21,95,57,38
1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,4,0,0,0,1,13,85,58,27
0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,8,82,62,20
0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,9,89,67,22
0,1,0,0,0,1,0,1,0,0,0,0,2,4,0,4,3,2,0,2,20,96,60,36
2,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,10,85,59,26
